PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,FamilySize,IsAlone,Title,AgeBin
1,0,3,"Smith, Rev. Charles",male,21.8564672,0,0,47431,95.25,S,1,1,Rare,"(18, 35]"
2,1,1,"Taylor, Rev. Henry",male,15.79340577,2,2,74382,119.36,S,5,0,Rare,"(12, 18]"
3,1,3,"Garcia, Mrs. George",female,20.91011437,3,1,36237,74.63,S,5,0,Mrs,"(18, 35]"
4,0,3,"Johnson, Mr. Clara",male,12.86483627,2,2,26074,40.41,S,5,0,Mr,"(12, 18]"
5,0,2,"Smith, Dr. Margaret",male,30.47716856,2,2,27790,101.32,S,5,0,Rare,"(18, 35]"
6,0,3,"Taylor, Mr. James",male,19.22037477,3,0,19706,75.67,S,4,0,Mr,"(18, 35]"
7,0,3,"Martin, Mrs. Sarah",female,33.27300277,0,2,69250,71.84,C,3,0,Mrs,"(18, 35]"
8,1,3,"Taylor, Mr. Clara",male,8.217460953,0,1,32630,34.17,S,2,0,Mr,"(0, 12]"
9,0,3,"Jackson, Rev. Clara",male,34.63232325,3,2,68341,91.98,S,6,0,Rare,"(18, 35]"
10,1,1,"Martin, Mrs. Emma",female,41.66940546,3,2,21506,14.39,S,6,0,Mrs,"(35, 60]"
11,0,3,"Martinez, Miss. John",female,29.19588204,3,2,99381,111.29,S,6,0,Miss,"(18, 35]"
12,1,3,"Garcia, Col. Frank",male,35.23679198,2,0,51889,42.47,S,3,0,Rare,"(35, 60]"
13,1,1,"Anderson, Master. Anna",male,47.18736589,3,1,97535,19.69,C,5,0,Master,"(35, 60]"
14,0,3,"Martinez, Mrs. Joseph",female,13.06502574,1,0,55537,55.87,S,2,0,Mrs,"(12, 18]"
15,0,3,"Johnson, Miss. Charles",female,53.41601342,2,0,18511,9.88,Q,3,0,Miss,"(35, 60]"
16,0,3,"Thomas, Master. Charles",male,35.86626613,0,0,82089,83.73,S,1,1,Master,"(35, 60]"
17,0,3,"Martin, Col. Mary",male,20.12983402,0,0,81063,108.81,S,1,1,Rare,"(18, 35]"
18,0,2,"Garcia, Miss. William",female,32.67790217,0,0,48058,101.29,S,1,1,Miss,"(18, 35]"
19,0,1,"Johnson, Master. Clara",male,37.81657678,2,1,49315,19.65,S,4,0,Master,"(35, 60]"
20,0,2,"Harris, Master. James",male,31.06407548,1,2,30644,19.52,C,4,0,Master,"(18, 35]"
21,0,3,"Clark, Miss. Martha",female,29.19588204,3,0,93584,98.54,C,4,0,Miss,"(18, 35]"
22,0,1,"Martin, Col. Mary",male,17.1105697,3,0,32818,111.29,C,4,0,Rare,"(12, 18]"
23,0,2,"Smith, Mrs. James",female,32.37105154,0,1,57381,57.98,S,2,0,Mrs,"(18, 35]"
24,0,2,"Martinez, Rev. Thomas",male,10.20799704,0,1,76683,62.38,C,2,0,Rare,"(0, 12]"
25,0,3,"Robinson, Miss. James",female,28.44283514,2,2,39391,41.6,S,5,0,Miss,"(18, 35]"
26,1,3,"Jackson, Mrs. Charles",female,17.34529302,1,1,25907,107.84,S,3,0,Mrs,"(12, 18]"
27,0,2,"Thompson, Miss. Emma",female,19.7025808,3,2,36342,79.16,S,6,0,Miss,"(18, 35]"
28,0,2,"Brown, Col. Mary",male,47.30530445,2,0,28202,38.15,S,3,0,Rare,"(35, 60]"
29,0,3,"Taylor, Miss. Mary",female,45.27834169,3,0,41029,39.36,C,4,0,Miss,"(35, 60]"
30,0,3,"Garcia, Rev. Henry",male,38.52793369,0,2,74752,107.49,S,3,0,Rare,"(35, 60]"
31,0,1,"Martin, Rev. James",male,14.70762129,3,1,13445,6.57,S,5,0,Rare,"(12, 18]"
32,0,3,"Harris, Rev. Frank",male,25.5702817,1,2,57303,42.11,S,4,0,Rare,"(18, 35]"
33,0,1,"Brown, Rev. Thomas",male,46.9833678,1,1,82616,68.75,S,3,0,Rare,"(35, 60]"
34,1,1,"Anderson, Master. Elizabeth",male,31.98403679,0,0,85009,22.05,S,1,1,Master,"(18, 35]"
35,1,3,"Taylor, Rev. Clara",male,62.47061356,1,1,58353,15.59,S,3,0,Rare,"(60, 80]"
36,1,2,"Robinson, Rev. Anna",male,28.789262305,1,2,71263,98.76,S,4,0,Rare,"(18, 35]"
37,0,3,"Taylor, Col. William",male,31.006898200000002,2,2,82305,107.86,S,5,0,Rare,"(18, 35]"
38,0,2,"Martinez, Col. William",male,25.6723695,3,0,27009,99.71,S,4,0,Rare,"(18, 35]"
39,1,3,"Anderson, Miss. Elizabeth",female,31.86957267,0,1,90209,108.36,S,2,0,Miss,"(18, 35]"
40,0,3,"Clark, Mr. Joseph",male,27.86542229,0,1,21300,68.61,S,2,0,Mr,"(18, 35]"
41,0,1,"Taylor, Dr. Anna",male,39.91352147,0,1,18617,98.41,S,2,0,Rare,"(35, 60]"
42,0,3,"Jackson, Rev. Alice",male,31.006898200000002,0,0,50539,49.16,S,1,1,Rare,"(18, 35]"
43,0,1,"Brown, Rev. Emma",male,18.99614755,0,1,62187,81.62,S,2,0,Rare,"(18, 35]"
44,1,3,"Taylor, Miss. George",female,11.36273865,1,2,72739,118.72,S,4,0,Miss,"(0, 12]"
45,0,1,"Harris, Rev. Clara",male,4.293124777,2,1,78903,30.96,S,4,0,Rare,"(0, 12]"
46,1,2,"Jackson, Miss. Florence",female,37.11187858,0,0,63843,49.84,S,1,1,Miss,"(35, 60]"
47,0,1,"Thomas, Dr. Elizabeth",male,14.55286751,2,1,63665,60.21,S,4,0,Rare,"(12, 18]"
48,0,3,"Harris, Mrs. George",female,1.0,2,1,85353,20.87,S,4,0,Mrs,"(0, 12]"
49,0,3,"Martinez, Master. James",male,35.44010046,1,2,19666,14.32,C,4,0,Master,"(35, 60]"
50,0,3,"Brown, Mr. Charles",male,64.90199324,0,1,26426,100.42,S,2,0,Mr,"(60, 80]"
51,1,1,"Martinez, Rev. Frank",male,29.91500724,1,2,51553,117.33,Q,4,0,Rare,"(18, 35]"
52,1,3,"Martin, Rev. Margaret",male,31.006898200000002,0,2,94192,51.54,S,3,0,Rare,"(18, 35]"
53,1,1,"Jackson, Mr. Elizabeth",male,31.14561102,1,0,19720,15.08,S,2,0,Mr,"(18, 35]"
54,1,3,"Harris, Dr. Emma",male,28.61554486,2,2,68979,12.57,S,5,0,Rare,"(18, 35]"
55,0,1,"Robinson, Miss. Clara",female,42.86707076,0,2,71057,107.5,S,3,0,Miss,"(35, 60]"
56,1,1,"Thompson, Mr. Charles",male,30.369585,3,0,99143,58.34,S,4,0,Mr,"(18, 35]"
57,0,1,"Martinez, Dr. Henry",male,33.7434924,2,2,77811,41.8,S,5,0,Rare,"(18, 35]"
58,0,3,"Johnson, Rev. Anna",male,34.50376929,3,0,55156,59.79,S,4,0,Rare,"(18, 35]"
59,0,3,"Brown, Miss. Margaret",female,20.64673365,2,1,26821,41.6,S,4,0,Miss,"(18, 35]"
60,0,1,"Garcia, Master. John",male,30.369585,1,0,82260,61.24,S,2,0,Master,"(18, 35]"
61,0,3,"Harris, Rev. Henry",male,31.006898200000002,0,2,93859,103.85,S,3,0,Rare,"(18, 35]"
62,0,3,"Harris, Col. Frank",male,19.41956777,2,0,87042,73.11,S,3,0,Rare,"(18, 35]"
63,1,3,"Robinson, Mr. Robert",male,37.51113781,1,2,33850,84.89,S,4,0,Mr,"(35, 60]"
64,0,2,"Martin, Rev. Sarah",male,28.789262305,0,1,26912,46.94,C,2,0,Rare,"(18, 35]"
65,0,2,"Thomas, Mrs. George",female,30.3945362,0,0,66704,89.93,C,1,1,Mrs,"(18, 35]"
